,epoch,train_loss,val_loss
0,1,0.102982114,0.05968566
1,2,0.062714946,0.051847661
2,3,0.049862762,0.044070726
3,4,0.047241083,0.047889256
4,5,0.056324521,0.068756842
5,6,0.059165181,0.103872965
6,7,0.051663943,0.048061343
7,8,0.04476342,0.040633677
8,9,0.038705389,0.035666187
9,10,0.036477947,0.03497848
10,11,0.037560835,0.041957421
11,12,0.041907357,0.051669574
12,13,0.042899273,0.049453565
13,14,0.03973259,0.041576584
14,15,0.035644592,0.033186405
15,16,0.032603848,0.031514291
16,17,0.032571899,0.03473941
17,18,0.035446187,0.046897162
18,19,0.038563407,0.066981447
19,20,0.037861866,0.042356721
20,21,0.034229572,0.032907918
21,22,0.030984937,0.029517328
22,23,0.03012246,0.029969633
23,24,0.031826164,0.040001905
24,25,0.034735244,0.044355498
25,26,0.036014971,0.042351088
26,27,0.03320317,0.031734633
27,28,0.030190067,0.027948607
28,29,0.028499084,0.027588257
29,30,0.028870067,0.035876249
30,31,0.031501435,0.037652685
31,32,0.033346597,0.042433856
32,33,0.032213702,0.036546168
33,34,0.029374575,0.027936157
34,35,0.027340815,0.026040916
35,36,0.0271994,0.027634097
36,37,0.028713843,0.036370822
37,38,0.030862636,0.036704414
38,39,0.030939776,0.033966407
39,40,0.028915343,0.027605946
