,epoch,train_loss,val_loss
0,1,0.092334595,0.073082415
1,2,0.060690879,0.052801436
2,3,0.049488958,0.045221143
3,4,0.047665223,0.049994832
4,5,0.056302325,0.062907065
5,6,0.061945216,0.056850139
6,7,0.056936203,0.054195764
7,8,0.047753392,0.045101778
8,9,0.041772968,0.038643315
9,10,0.039190196,0.037950639
10,11,0.040470805,0.041648711
11,12,0.046847896,0.051223897
12,13,0.047570595,0.046100606
13,14,0.044422318,0.042305106
14,15,0.038909353,0.035658881
15,16,0.035632013,0.034527827
16,17,0.035679745,0.036517116
17,18,0.03961507,0.042170572
18,19,0.042866001,0.04341013
19,20,0.041524979,0.039247436
20,21,0.037530265,0.034425634
21,22,0.034066608,0.031981234
22,23,0.032804502,0.032435338
23,24,0.034863721,0.038301255
24,25,0.038887823,0.043075044
25,26,0.039228367,0.040320665
26,27,0.036998185,0.034696015
27,28,0.033471289,0.03148383
28,29,0.031543503,0.030340768
29,30,0.032235211,0.034146715
30,31,0.035193095,0.037669276
31,32,0.037083551,0.038967831
32,33,0.036174169,0.034674519
33,34,0.033309084,0.030549625
34,35,0.030776989,0.029381565
35,36,0.030226952,0.030425124
36,37,0.032605071,0.033452031
37,38,0.035074888,0.03601376
38,39,0.035110181,0.036035054
39,40,0.033280535,0.030383076
