,epoch,train_loss,val_loss
0,1,0.0946,0.0588
1,2,0.0584,0.0512
2,3,0.0529,0.0493
3,4,0.0491,0.0456
4,5,0.0472,0.0426
5,6,0.0452,0.0409
6,7,0.0438,0.0393
7,8,0.0418,0.037
8,9,0.0408,0.0374
9,10,0.041,0.0362
10,11,0.0407,0.0368
11,12,0.0409,0.0372
12,13,0.0418,0.0397
13,14,0.042,0.038
14,15,0.0428,0.0412
15,16,0.0428,0.0393
16,17,0.0417,0.0401
17,18,0.0413,0.0405
18,19,0.0411,0.0401
19,20,0.0404,0.0405
20,21,0.0394,0.0353
21,22,0.0383,0.0346
22,23,0.0374,0.0327
23,24,0.0365,0.0315
24,25,0.0355,0.0314
25,26,0.0347,0.0299
26,27,0.0339,0.0293
27,28,0.0336,0.0295
28,29,0.0333,0.0289
29,30,0.0333,0.0285
30,31,0.0337,0.0296
31,32,0.0337,0.0303
32,33,0.0345,0.0315
33,34,0.0355,0.0342
34,35,0.0366,0.0337
35,36,0.0369,0.0368
36,37,0.0369,0.0367
37,38,0.0371,0.0337
38,39,0.0371,0.0351
39,40,0.0364,0.0342
